car_park_no,x_coord,y_coord,car_park_type,type_of_parking_system
KJ1,30083.6504,32880.4805,SURFACE CAR PARK,ELECTRONIC PARKING
KJ2,29932.1543,32838.1094,SURFACE CAR PARK,ELECTRONIC PARKING
KM4,33792.0373,32312.0363,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
KM5,33812.7654,32478.3858,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
KM6L,34068.6084,32547.8395,SURFACE CAR PARK,ELECTRONIC PARKING
KRM,32454.2248,32632.6824,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
K10,33686.7144,32414.074,SURFACE CAR PARK,ELECTRONIC PARKING
K2,33456.8846,32339.0013,SURFACE CAR PARK,ELECTRONIC PARKING
K2T,33589.582,32206.4841,SURFACE CAR PARK,ELECTRONIC PARKING
K21,34152.4219,32154.25,SURFACE CAR PARK,COUPON PARKING
K22,34127.5,32207.5039,SURFACE CAR PARK,COUPON PARKING
K3T,33624.4511,32211.1481,SURFACE CAR PARK,ELECTRONIC PARKING
K7,33864.8318,32356.4852,SURFACE CAR PARK,ELECTRONIC PARKING
K9,33891.3203,32539.3633,SURFACE CAR PARK,COUPON PARKING
LT1,36701.4493,33951.4516,SURFACE CAR PARK,ELECTRONIC PARKING
LT2,36631.1094,34016.6914,SURFACE CAR PARK,ELECTRONIC PARKING
LT3,36588.6943,34141.3917,SURFACE CAR PARK,ELECTRONIC PARKING
L1,32678.1348,36847.0548,SURFACE CAR PARK,ELECTRONIC PARKING
MM1,33981.2699,34740.5471,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
MM7,34296.3215,34188.8298,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
MM7L,34178.4766,34165.8832,SURFACE CAR PARK,ELECTRONIC PARKING
MP1,37371.0903,31905.8597,SURFACE CAR PARK,ELECTRONIC PARKING
MP1M,36524.3349,31701.1168,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
MP12,36262.5434,31721.8625,SURFACE CAR PARK,ELECTRONIC PARKING
MP13,36406.0703,31559.5098,SURFACE CAR PARK,ELECTRONIC PARKING
MP14,36194.5872,31654.4656,SURFACE CAR PARK,ELECTRONIC PARKING
MP15,36086.4038,31669.644,SURFACE CAR PARK,ELECTRONIC PARKING
MP16,36149.1148,31581.2922,SURFACE CAR PARK,ELECTRONIC PARKING
MP19,36133.3286,31515.2207,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
MP2M,36854.4147,31775.1611,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
MP20,36109.3594,31519.7479,SURFACE CAR PARK,COUPON PARKING
MP5,37220.0664,32048.6387,SURFACE CAR PARK,ELECTRONIC PARKING
MP5M,36809.7582,31975.4666,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
MP5S,36819.8751,31889.6622,SURFACE CAR PARK,ELECTRONIC PARKING
MP6M,36343.2232,31627.1688,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
MP6S,36356.2562,31612.4137,SURFACE CAR PARK,ELECTRONIC PARKING
MP7,37055.7578,31990.209,SURFACE CAR PARK,ELECTRONIC PARKING
M25,34105.2715,34051.7061,SURFACE CAR PARK,ELECTRONIC PARKING
M35,33853.4512,34389.6627,SURFACE CAR PARK,ELECTRONIC PARKING
M36,33796.2186,34304.2656,SURFACE CAR PARK,ELECTRONIC PARKING
M37,33818.9546,34433.4006,SURFACE CAR PARK,ELECTRONIC PARKING
M38,34027.245,34375.424,SURFACE CAR PARK,ELECTRONIC PARKING
